yearmo,SENT
195801,.
195802,.
195803,.
195804,.
195805,.
195806,.
195807,.
195808,.
195809,.
195810,.
195811,.
195812,.
195901,.
195902,.
195903,.
195904,.
195905,.
195906,.
195907,.
195908,.
195909,.
195910,.
195911,.
195912,.
196001,.
196002,.
196003,.
196004,.
196005,.
196006,.
196007,.
196008,.
196009,.
196010,.
196011,.
196012,.
196101,.
196102,.
196103,.
196104,.
196105,.
196106,.
196107,.
196108,.
196109,.
196110,.
196111,.
196112,.
196201,.
196202,.
196203,.
196204,.
196205,.
196206,.
196207,.
196208,.
196209,.
196210,.
196211,.
196212,.
196301,.
196302,.
196303,.
196304,.
196305,.
196306,.
196307,.
196308,.
196309,.
196310,.
196311,.
196312,.
196401,.
196402,.
196403,.
196404,.
196405,.
196406,.
196407,.
196408,.
196409,.
196410,.
196411,.
196412,.
196501,.
196502,.
196503,.
196504,.
196505,.
196506,.
196507,-1.91
196508,-1.92
196509,-1.82
196510,-1.66
196511,-1.67
196512,-1.69
196601,-1.73
196602,-1.83
196603,-1.59
196604,-1.62
196605,-1.55
196606,-1.49
196607,-1.39
196608,-1.22
196609,-1.33
196610,-1.33
196611,-1.29
196612,-1.18
196701,-1.08
196702,-1.05
196703,-1.16
196704,-1.07
196705,-1.13
196706,-1.03
196707,-1.01
196708,-1.00
196709,-0.90
196710,-1.02
196711,-0.67
196712,-0.35
196801,-0.19
196802,0.03
196803,-0.03
196804,-0.13
196805,0.13
196806,0.32
196807,0.55
196808,0.69
196809,0.88
196810,1.30
196811,1.39
196812,2.15
196901,2.03
196902,1.95
196903,2.01
196904,2.40
196905,2.79
196906,2.85
196907,2.84
196908,2.72
196909,3.07
196910,2.92
196911,2.98
196912,3.10
197001,2.88
197002,2.50
197003,2.47
197004,2.33
197005,2.04
197006,1.60
197007,1.56
197008,1.35
197009,1.25
197010,0.96
197011,0.72
197012,0.61
197101,0.44
197102,0.18
197103,0.00
197104,-0.41
197105,-0.63
197106,-0.75
197107,-0.70
197108,-0.80
197109,-0.65
197110,-0.73
197111,-0.85
197112,-0.85
197201,-0.66
197202,-0.74
197203,-0.60
197204,-0.58
197205,-0.59
197206,-0.48
197207,-0.55
197208,-0.47
197209,-0.41
197210,-0.46
197211,-0.41
197212,-0.28
197301,-0.32
197302,-0.12
197303,-0.14
197304,-0.26
197305,-0.50
197306,-0.70
197307,-0.82
197308,-0.98
197309,-1.07
197310,-1.22
197311,-1.46
197312,-1.22
197401,-1.14
197402,-1.37
197403,-1.40
197404,-1.65
197405,-1.75
197406,-1.78
197407,-1.80
197408,-2.03
197409,-1.78
197410,-2.09
197411,-2.32
197412,-2.00
197501,-1.81
197502,-1.99
197503,-2.01
197504,-2.02
197505,-2.02
197506,-2.03
197507,-1.87
197508,-1.88
197509,-1.92
197510,-1.82
197511,-1.88
197512,-1.91
197601,-1.76
197602,-1.84
197603,-1.81
197604,-1.78
197605,-1.81
197606,-1.76
197607,-1.68
197608,-1.77
197609,-1.80
197610,-1.80
197611,-1.88
197612,-1.77
197701,-1.65
197702,-1.52
197703,-1.43
197704,-1.43
197705,-1.61
197706,-1.59
197707,-1.56
197708,-1.59
197709,-1.59
197710,-1.57
197711,-1.52
197712,-1.49
197801,-1.50
197802,-1.48
197803,-1.37
197804,-1.16
197805,-1.22
197806,-1.24
197807,-1.33
197808,-1.30
197809,-1.22
197810,-1.19
197811,-1.18
197812,-1.13
197901,-0.96
197902,-1.01
197903,-1.06
197904,-1.04
197905,-0.95
197906,-0.74
197907,-0.59
197908,-0.50
197909,-0.47
197910,-0.75
197911,-0.71
197912,-0.66
198001,-0.73
198002,-0.71
198003,-0.53
198004,-0.57
198005,-0.33
198006,-0.26
198007,-0.23
198008,-0.29
198009,-0.34
198010,-0.32
198011,-0.13
198012,0.26
198101,0.35
198102,0.58
198103,0.69
198104,0.64
198105,0.55
198106,0.74
198107,0.58
198108,0.82
198109,1.01
198110,1.08
198111,1.21
198112,1.44
198201,1.27
198202,1.39
198203,1.52
198204,1.40
198205,1.46
198206,1.36
198207,1.19
198208,0.98
198209,0.85
198210,0.78
198211,0.83
198212,0.85
198301,0.68
198302,0.55
198303,0.37
198304,0.46
198305,0.40
198306,0.49
198307,0.66
198308,0.69
198309,0.82
198310,1.37
198311,1.65
198312,1.85
198401,2.27
198402,2.40
198403,2.34
198404,2.05
198405,2.32
198406,2.31
198407,2.20
198408,1.85
198409,1.80
198410,1.44
198411,1.44
198412,1.22
198501,1.11
198502,0.98
198503,0.90
198504,0.90
198505,0.82
198506,0.69
198507,0.63
198508,0.71
198509,0.71
198510,0.63
198511,0.57
198512,0.69
198601,0.83
198602,0.72
198603,0.70
198604,0.62
198605,0.66
198606,0.65
198607,0.89
198608,0.99
198609,1.07
198610,1.10
198611,1.25
198612,1.29
198701,1.26
198702,1.12
198703,1.06
198704,1.09
198705,0.99
198706,0.90
198707,0.76
198708,0.63
198709,0.66
198710,0.54
198711,0.57
198712,0.26
198801,0.27
198802,0.31
198803,0.18
198804,0.02
198805,0.00
198806,-0.10
198807,-0.20
198808,-0.24
198809,-0.31
198810,-0.48
198811,-0.47
198812,-0.41
198901,-0.45
198902,-0.47
198903,-0.46
198904,-0.45
198905,-0.50
198906,-0.38
198907,-0.48
198908,-0.52
198909,-0.51
198910,-0.53
198911,-0.49
198912,-0.33
199001,-0.30
199002,-0.28
199003,-0.24
199004,-0.03
199005,-0.11
199006,-0.10
199007,-0.18
199008,-0.06
199009,-0.06
199010,-0.06
199011,-0.16
199012,-0.19
199101,-0.24
199102,-0.16
199103,-0.21
199104,-0.19
199105,-0.08
199106,0.00
199107,-0.14
199108,-0.23
199109,-0.19
199110,-0.17
199111,0.02
199112,0.12
199201,0.25
199202,0.41
199203,0.59
199204,0.51
199205,0.50
199206,0.51
199207,0.50
199208,0.58
199209,0.65
199210,0.61
199211,0.66
199212,0.76
199301,0.81
199302,0.87
199303,0.77
199304,0.42
199305,0.30
199306,0.26
199307,0.30
199308,0.24
199309,0.30
199310,0.46
199311,0.61
199312,0.65
199401,0.69
199402,0.61
199403,0.55
199404,0.48
199405,0.61
199406,0.72
199407,0.64
199408,0.67
199409,0.68
199410,0.54
199411,0.54
199412,0.41
199501,0.46
199502,0.48
199503,0.33
199504,0.12
199505,-0.01
199506,-0.06
199507,-0.12
199508,0.00
199509,0.05
199510,0.09
199511,0.18
199512,0.22
199601,0.28
199602,0.29
199603,0.35
199604,0.27
199605,0.33
199606,0.55
199607,0.64
199608,0.77
199609,0.76
199610,0.75
199611,0.74
199612,0.81
199701,0.81
199702,0.87
199703,0.83
199704,1.01
199705,0.87
199706,0.78
199707,0.57
199708,0.69
199709,0.82
199710,0.62
199711,0.66
199712,0.69
199801,0.65
199802,0.46
199803,0.39
199804,0.08
199805,0.20
199806,0.16
199807,0.30
199808,0.37
199809,0.31
199810,0.20
199811,0.01
199812,-0.19
199901,-0.18
199902,-0.05
199903,-0.07
199904,-0.17
199905,-0.20
199906,-0.07
199907,-0.14
199908,-0.32
199909,-0.11
199910,-0.20
199911,-0.05
199912,0.22
200001,0.58
200002,0.53
200003,0.90
200004,0.43
200005,0.72
200006,0.92
200007,1.19
200008,1.19
200009,1.28
200010,1.33
200011,1.80
200012,2.06
200101,2.28
200102,2.94
200103,2.72
200104,2.35
200105,2.19
200106,2.58
200107,2.45
200108,2.49
200109,2.34
200110,2.10
200111,1.39
200112,1.11
200201,1.35
200202,0.67
200203,0.36
200204,0.46
200205,0.41
200206,0.44
200207,0.00
200208,-0.12
200209,-0.60
200210,-0.45
200211,-0.27
200212,-0.36
200301,-0.36
200302,-0.54
200303,-0.39
200304,-0.70
200305,-0.73
200306,-0.66
200307,-0.86
200308,-0.94
200309,-0.80
200310,-0.73
200311,-0.65
200312,-0.82
200401,-0.65
200402,-0.52
200403,-0.59
200404,-0.46
200405,-0.46
200406,-0.39
200407,-0.13
200408,0.01
200409,-0.03
200410,-0.03
200411,-0.03
200412,-0.04
200501,0.05
200502,0.00
200503,-0.02
200504,0.03
200505,0.04
200506,0.03
200507,-0.17
200508,-0.14
200509,-0.08
200510,-0.05
200511,-0.01
200512,0.06
200601,-0.01
200602,-0.09
200603,-0.12
200604,-0.17
200605,-0.03
200606,0.03
200607,0.12
200608,0.13
200609,0.15
200610,0.15
200611,0.22
200612,0.22
200701,0.28
200702,0.48
200703,0.55
200704,0.60
200705,0.33
200706,0.35
200707,0.26
200708,0.18
200709,0.13
200710,0.13
200711,0.12
200712,0.09
200801,0.22
200802,0.27
200803,0.20
200804,0.10
200805,0.05
200806,0.04
200807,0.02
200808,0.05
200809,-0.21
200810,-0.20
200811,-0.56
200812,-0.46
200901,-0.46
200902,-0.66
200903,-0.66
200904,-0.82
200905,-0.73
200906,-0.72
200907,-0.53
200908,-0.57
200909,-0.64
200910,-0.81
200911,-0.90
200912,-0.84
201001,-0.82
201002,-0.75
201003,-0.75
201004,-0.54
201005,-0.52
201006,-0.28
201007,-0.29
201008,-0.20
201009,-0.20
201010,-0.32
201011,-0.37
201012,-0.36
201101,-0.35
201102,-0.29
201103,-0.24
201104,-0.25
201105,-0.11
201106,-0.19
201107,-0.21
201108,-0.22
201109,-0.15
201110,-0.16
201111,-0.30
201112,-0.33
201201,-0.39
201202,-0.32
201203,-0.33
201204,-0.32
201205,-0.30
201206,-0.43
201207,-0.30
201208,-0.31
201209,-0.30
201210,-0.24
201211,-0.36
201212,-0.42
201301,-0.31
201302,-0.18
201303,-0.12
201304,-0.22
201305,-0.17
201306,-0.10
201307,-0.20
201308,-0.11
201309,-0.08
201310,-0.13
201311,-0.18
201312,-0.07
201401,-0.26
201402,-0.22
201403,-0.22
201404,-0.24
201405,-0.18
201406,-0.14
201407,0.00
201408,-0.04
201409,0.02
201410,-0.08
201411,-0.02
201412,0.03
201501,0.16
201502,0.21
201503,0.16
201504,-0.03
201505,-0.01
201506,0.04
201507,-0.13
201508,-0.14
201509,-0.24
201510,-0.30
201511,-0.38
201512,-0.35
201601,-0.42
201602,-0.41
201603,-0.37
201604,-0.37
201605,-0.34
201606,-0.28
201607,-0.20
201608,-0.20
201609,-0.30
201610,-0.29
201611,-0.23
201612,-0.25
201701,-0.32
201702,-0.29
201703,-0.25
201704,-0.33
201705,-0.25
201706,-0.34
201707,-0.36
201708,-0.40
201709,-0.22
201710,-0.19
201711,-0.20
201712,-0.19
201801,-0.11
201802,-0.05
201803,-0.01
201804,-0.28
201805,-0.30
201806,-0.30
201807,-0.24
201808,-0.24
201809,-0.29
201810,-0.32
201811,-0.36
201812,-0.41
